②⑼⑬③⑥②	'twixt
⑯④⒉⑵⑯⑵	afforded
⑯④⒉⑵⑬⑩	affording
⑯④⑾⒃⑿②	affront
⑮④⑶⑮⑿⑹	afghans
⑯④⒉⑥⑭⑵	aforesaid
⑯④⒉⑤⒇②	aforethought
⑳④②⒌③⒊	aftercare
⑯⑶⒁⑿⑥②	against
⑯⑶⑳⑷⑬⑹	agaves
⒁⑻⑯⑿⑥⑬	agency
⑯⑻⑭⑿⑵⑯	agenda
⒁⑻⑯⑿②⑥	agents
⑯⑶⑾⑭⑥⒌	aggressor
⑯⑶⑾⒀⑷⑵	aggrieved
⑯⑶⑾⒀⑷⑹	aggrieves
⑮⑻⑬②⒁②	agitate
⑮⑶⑯⑿⑬⑹	agonies
⑯⑶⑾⒊⒎⑿	agrarian
⑯⑶⑾⒀⑬⑩	agreeing
⑯⑶⑾⑲⑿⑵	aground
⒁⑶⑾⑭②⑥	aigrets
⒁⑪⒌⑰⑿⑹	ailerons
⒁⑪⑫⑯⑿②	ailment
⒊⑴⑾⒁③⑥	airbrakes
⒊⑴⑾⒃⑦②	airbrushed
⒊③⑾⑳④②	aircraft
⒊⑵⑾⒄⑫⑹	airdromes
⒊④⒀⑪⑵⑹	airfields
⒊④⑾⒁⑫⑹	airframes
⒊⑪⒂⑿⒌⑹	airliners
⒊①⑪⒁⑿⑹	airplanes
⒊⑥③⑾⒅⑹	airscrews
⒊⑥②⑾⑬①	airstrip
⒊⑼⑱⑫⑯⑿	airwoman
⒊⑼⑬⑫⑬⑿	airwomen
⑯③⑬⑫⑴⒄	akimbo
⑯⑪⒈⑫⑬⑩	alarming
⒇⑪⑴⒀⑬②	albeit
⑮⑪⑴⒀⑿⒄	albino
⑮⑪⑴⑯⑫⑹	albums
⑮⑪③⑭⑫⑬	alchemy
⑮⑪③⒄⑷⑹	alcoves
⑯⑪⒋②⑯⑵	alerted
⑯⑪⒋②⑬⑩	alerting
⑯⑪⒋②⑪⑬	alertly
⑯⑪⑭③⑥⒎	alexia
⑮⑪⑻⒍⒎⑿	algerian
⒁⑪⒎⑥⑯⑹	aliases
⑮⑪⑬⑴⒂⑹	alibis
⒁⑪⒎⑿⒁②	alienate
⑯⑪⒂②⑯⑵	alighted
⑯⑪⒂②⑬⑩	alighting
⑯⑪⒂⑿⑬⑩	aligning
⑮⑪③⑯⑪⒂	alkali
⑯⑪⑭⑻⑯⑹	alleges
⑯⑪⑭⑻⑬⑩	alleging
⑮⑪⑬⑶⒌⑬	allegory
⑯⑪⑭⑶⑾⒄	allegro
⑮⑪⒌⑻⑭⑿	allergen
⑯⑪⒋⑻⑬③	allergic
⑮⑪⒌⑻⑬⑹	allergies
⑮⑪⑬⑼⒁⑹	alleyways
⑯⑪⒂⑯⑿⑥	alliance
⑮⑪⑯③⒁②	allocate
⑯⑪⑰②⑯⑵	allotted
⑯⑪⑰②⑬⑩	allotting
⑯⑪⑲⑯⑿⑥	allowance
⒇⑪⑥①⒂⑥	allspice
⑯⑪⒅⑵⑯⑵	alluded
⑯⑪⒅⑵⑬⑩	alluding
⑯⑪⑱⒌⑬⑩	alluring
⑯⑪⒅⑺⑯⑿	allusion
⑯⑪⒅⑥⑬⑷	allusive
⑯⑪⒅⑷⒎⑪	alluvial
⒇⑪⑫⒂②⑬	almighty
⑳⑫⑯⑿⑵⑹	almonds
⑳⑫⑯⑿⒌⑹	almoners
⒇⑪⑫⒄⑥②	almost
⑮⑪①⑮③⑯	alpaca
⒇⑪⑾⑭⑵⑬	already
⒇⑪②⒌⑬⑩	altering
⑯⑪⒃⑫⑿⑯	alumna
⑯⑪⒃⑫⑿⒀	alumnae
⑯⑪⒃⑫⑿⒂	alumni
⑯⑫⑮⑥⑯⑹	amasses
⑯⑫⑮⑥⑬⑩	amassing
⑮⑫⑯⑧⒌⑹	amateurs
⑮⑫⑯②⒌⑬	amatory
⑯⑫⒁⑹⑯⑹	amazes
⑯⑫⒁⑹⑬⑩	amazing
⑮⑫⑯⑹⑯⑿	amazon
⑮⑫⑴⒎⑿⑥	ambience
⑮⑫⑴⒎⑿②	ambient
⑮⑫⑴⑬②⑥	ambits
⑮⑫⑴⑯⑪⑵	ambled
⑮⑫⑴⑯⑪⑹	ambles
⑮⑫⑴⑪⑬⑩	ambling
⑮⑫⑴⑱⑦②	ambushed
⑯⑫⒀⑴⑯⑹	amoebas
⑯⑫⑭⑿⑵⑹	amends
⒁⑫⒎⑴⑯⑪	amiable
⒁⑫⒎⑴⑪⑬	amiably
⑯⑫⑬⑵⑥②	amidst
⑯⑫⒀⑿⒄⑹	aminos
⑮⑫⒀②⒌⑹	ammeters
⑮⑫⑯⑿⒂②	ammonite
⑯⑫⒄⑿⒎⑫	ammonium
⑮⑫⑿⒀⑹⒎	amnesia
⑯⑫⒀⑴⑬③	amoebic
⑯⑫⒃⑩⑥②	amongst
⒁⑫⑰⑾⑯⑪	amoral
⑯⑫⒉④⑯⑥	amorphous
⑯⑫⒉②⒂⑹	amortise
⑯⑫⑲⑿②⑥	amounts
⑮⑫④⒌⑯⑹	amphoras
⑮⑫①⒅⑪⑹	ampoules
⑯⑫⒏⑹⑯⑹	amuses
⑯⑫⒏⑹⑬⑩	amusing
⑯⑿⒀⑫⑬③	anaemic
⑮⑿⑯⑪⑰⑶	analogue
⑮⑿⑯⑪⒂⑹	analyse
⑯⑿⒈③⑬③	anarchic
⑮⑩③⒌⑬⑻	anchorage
⑮⑩③⒌⑬⑩	anchoring
⑮⑩③⒌⒂②	anchorite
⑮⑿⑧⒄⑷⑬	anchovy
⒁⑿⑧⑯⑿②	ancient
⑮⑩③⑯⑪⑹	ankles
⑮⑿⑵⒂⒌⑿	andiron
⑮⑿⑵⒉⑯⑿	andorran
⑮⑿⑵⑾⒆⑵	android
⑮⑿⒌⒆⑵⑹	aneroids
⒁⑿⑻⑯⑪⑹	angels
⑮⑩⑶⒌⑬⑩	angering
⑮⑿⑻⒂⑿⑯	angina
⑮⑩⑶⑯⑪⑵	angled
⑮⑩⑶⑪⒌⑹	anglers
⑮⑩⑶⑯⑪⑹	angles
⑮⑩⑶⑪⑬⑩	angling
⑮⑩⑶⒉⑯⑹	angoras
⑮⑩⑶⑾⑬⒌	angrier
⑮⑩⑶⑼⑬⑦	anguish
⑮⑿⑬⑪⒀⑿	aniline
⑮⑿⑬⑫⑯⑪	animal
⑮⑿⑬⑫⑯②	animate
⑮⑿⑬⑫⒁②	animate
⑮⑿⑬⑫⑯⑥	animus
⑮⑿⑬⑥⒀⑵	aniseed
⑮⑿⒀⑥⑯⑹	anises
⑮⑩③⑪⑯②	anklet
⑯⑿⒀⑪⑬⑩	annealing
⑯⑿⑭③⑥②	annexed
⑮⑿⑯②⒁②	annotate
⑯⑿⑲⑿⑥②	announced
⑯⑿⑲⑿⑥⒌	announcer
⑯⑿⒆⑯⑿⑥	annoyance
⑮⑿⑨⑱⑯⑪	annual
⑯⑿⒏⑬②⑬	annuity
⑮⑿⑨⑯⑪⒌	annular
⑯⑿⒃⑪⑬⑩	annulling
⑮⑿⑯⑵⒂⑿	anodyne
⑯⑿⒆⑿②⑥	anoints
⑮⑿⒌⑮③⑥	anoraks
⑮⑿⑥⑮②⑥	ansatz
⑳⑿⑥⒌⑬⑩	answering
⑮⑿②⑭⑿⑯	antenna
⑮⑿②⑭⑿⒀	antennae
⑮⑿⑤⑯⑫⑹	anthems
⑮⑿②⑬③⑥	antics
⑮⑿②⒀④⑯	antifa
⑮⑿②⒀③⑥	antiques
⑮⑿②⑪⒌⑹	antlers
⒁⑿⑯⑥⑯⑹	anuses
⑮⑿⑷⑬⑪⑹	anvils
⑮⑩③⑦⑯⑥	anxious
⑭⑿⑬⑼⒃⑿	anyone
⑭⑿⑬⑤⑬⑩	anything
⑭⑿⑬②⒂⑫	anytime
⑯①⑮⑧⑬⑹	apaches
⑮①⑯⑿⑬⑻	apanage
⑯①⒈②⒂②	apartheid
⑯①⒍⒎⑿②	aperient
⑮①⒌⑧⒌⑹	apertures
⒁④⑬⑵⒀⑹	aphides
⒁①⒍⑬⑥②	apiarist
⑮①⑬③⑯⑪	apical
⒁①⑬⑥⒀⑹	apices
⑮①⑯⑻⒀⑹	apogees
⑮①⑯⑤⑭⑫	apophthegm
⑯①⑰⑥⑯⑪	apostle
⑯①⒇⑪⑬⑩	appalling
⑯①⑮⑾⑯⑪	apparel
⑯①⒀⑪⑬⑩	appealing
⑯①⒍⑯⑿⑥	appearance
⑯①⒀⑹⑯⑹	appeases
⑯①⒀⑹⑬⑩	appeasing
⑯①⑭⑿⑵⑹	appends
⑮①⒌②⒁⑿	appertain
⑮①⑯②⒂②	appetite
⑯①⑪⒇⑵⑹	applauds
⑮①⑪⒀③⒁	applique
⑯①⑪⒂⑬⑩	applying
⑯①⒆⑿②⒀	appointee
⑯①⒆⑿②⑥	appoints
⑯①⒉⑦⑯⑿	apportion
⑮①⑯⑹⑬②	apposite
⑯①⑾⒁⑹⑵	appraised
⑯①⑾⒂⑹⑵	apprised
⑯①⑾⒄⑧②	approached
⑯①⑾⒅⑷⑵	approved
⑯①⑾⒅⑷⑹	approves
⑯①⑾⑰③⑥	approx
⒁①⑾⑯⑪⑹	aprils
⒁①⑾⑯⑿⑹	aprons
⑮①⑾⑯①⒄	apropos
⑮①②⑯⑥②	aptest
⑮①②⑿⑯⑥	aptness
⑯③⑼⒊⒎⑫	aquarium
⒌⒁⑴⒎⑿⑹	arabians
⑮⑾⑯⑴⑬③	arabic
⑮⑾⑯⑴⑯⑪	arable
⒌⑮③⑿⑬⑵	arachnid
⒈⑴⑬②⒌⑹	arbiters
⒈③⒁⑵⒎⑿	arcadian
⒈⑧⑵⒏③⑥	archdukes
⒈③⑬②⒂①	archetype
⑮⑾⑬③⑯⑹	arecas
⒈⑻⑯⑿②⑥	argents
⒈⑶⑯⑿⒇②	argonaut
⒈⑶⑯⑥⑬⑹	argosies
⒈⑶⑯⑥⑯⑹	arguses
⒌⑬⑵⑬②⑬	aridity
⒈⑫⑳⑵⑯⑹	armadas
⒈⑫⑯⑧⒌⑹	armatures
⒈⑫⑴⑮⑿⑵	armband
⒈⑫④⑱⑪⑹	armfuls
⒈⑫⑪⑯②⑥	armlets
⒈⑫①⑬②⑥	armpits
⒈①⑭⑻⑬⒄	arpeggio
⒌⒁⑿⑻⑯⑹	arranges
⒌⒁⑿⑻⑬⑩	arranging
⑮⑾⑯⑥⑯⑹	arrases
⒌⑭⑥②⑯⑵	arrested
⒌⑭⑥②⒌⑹	arresters
⒌⑭⑥②⑬⑩	arresting
⒌⒂⑷⑯⑪⑹	arrivals
⑮⑾⑯⑶⒁②	arrogate
⑮⑾⒄⑽⑭⑵	arrowhead
⑮⑾⒄⑾⒅②	arrowroot
⒈⑥⑽⒄⑪⑹	arseholes
⒈⑥⑯⑿⑯⑪	arsenal
⒈⑥⑯⑿⑬③	arsenic
⒈②⒀⑹⒎⑿	artesian
⒈②④⑯⑪⑬	artfully
⒈②⑬⑧⒄③	artichoke
⒈②⑬③⑯⑪	article
⒈②⑬④⑬⑥	artifice
⒈②⑬⑪⒌⑬	artillery
⒈②⑬⑹⑮⑿	artisan
⒈②⒀⑥②⑥	artistes
⒈②⑬⑥②⑥	artists
⒈②⑼⒋③⑥	artworks
⒁⑭⑥⒁①⒀	asap
⑯⑥⑭⑿⑵⑹	ascends
⑯⑥⑭⑿②⑥	ascents
⑮⑥⒌②⒁⑿	ascertain
⑯⑥⑭②⑬③	ascetic
⑯⑥③⑾⒂⑴	ascribe
⑮⑹⑵⑬③⑥	asdics
⑮⑦②⑾⒁⑹	ashtrays
⑮⑥⑬⑿⒂⑿	asinine
⑯⑥③⑮⑿⑥	askance
⑯⑥⑪⑳⑿②	aslant
⑮⑥①⑭③②	aspect
⑮⑥①⑯⑿⑹	aspens
⑯⑥①⒋⑥②	aspersed
⑮⑥④⒇⑪②	asphalt
⑯⑥①⒂⒌⑵	aspired
⑯⑥①⒂⒌⑹	aspires
⑮⑥①⒌⑬⑿	aspirin
⑯⑥①⑾⒇⑪	asprawl
⑮⑥⑯⑶⒂⑹	assagais
⑯⑥⒁⑪⑬⑩	assailing
⑯⑥⑮⑥⑬⑿	assassin
⑯⑥⒇⑪②⑥	assaults
⑯⑥⒋②⑯⑵	asserted
⑯⑥⒋②⑬⑩	asserting
⑯⑥⒋⑦⑯⑿	assertion
⑯⑥⒋②⑬⑷	assertive
⑯⑥⑭⑥⑯⑹	assesses
⑯⑥⑭⑥⑬⑩	assessing
⑯⑥⑭⑥⒌⑹	assessors
⑮⑥⑽⒄⑪⑹	assholes
⑯⑥⒂⑿⑬⑩	assigning
⑯⑥⑬⑥②⑥	assists
⑯⑥⒂⑹⑯⑹	assizes
⑯⑥⒄⑦⒎②	associate
⑯⑥⒉②⑯⑵	assorted
⑯⑥⑼⒁⑻⑵	assuaged
⑯⑥⒏⑫⑬⑩	assuming
⑯⑦⑱⒌⑬⑩	assuring
⑮⑥②⒌⒆⑵	asteroid
⑯⑥②⑲⑿⑵	astound
⑮⑥②⑾⑯⑪	astral
⑯⑥②⑾⒂⑵	astride
⑯⑥⒃⑿⑵⒌	asunder
⑯⑥⒂⑪⑯⑫	asylum
⑮②⑭⑪⑬⒁	atelier
⒁⑤⑬⑬⑥②	atheist
⑮⑤⑯⑪⑬⑩	atheling
⑯⑤⒀⑿⒎⑿	athenian
⑮⑤⑪⒀②⑥	athletes
⑯②⑰⑫⑬③	atomic
⑮②⑯⑫⒂⑹	atomise
⒁②⒄⑿⑯⑪	atonal
⑯②⒄⑿⑬⑩	atoning
⑮②⑾⑯④⑬	atrophy
⑯②⑮⑦⒁⑹	attaches
⑯②⑮⑧⑯⑹	attaches
⑯②⑮⑧⑬⑩	attaching
⑯②⑮③⒌⑹	attackers
⑯②⑮③⑬⑩	attacking
⑯②⒁⑿⑵⒌	attainder
⑯②⒁⑿⑬⑩	attaining
⑯②⑭⑫①②	attempt
⑯②⑭⑿⑵⑹	attends
⑯②⑭⑥②⑥	attests
⑯②⒂⒌⑬⑩	attiring
⑮②⑬②⒏⑵	attitude
⑯②⒋⑿⑬⑹	attorneys
⑯②⑾⑮③②	attract
⑯②⒏⑿⑬⑩	attuning
⒄⑴⒌⑺⒀⑿	aubergine
⒇⑴⑾⒀⑦⑯	aubrietia
⒇③⑦⑯⑿⑵	auctioned
⒇③⑦⑯⑿⒍	auctioneer
⒇③⑦⑯⑿⑹	auctions
⒇⑵⒁⑦⑯⑥	audacious
⒇⑵⑯⑴⑯⑪	audible
⒇⑵⑯⑴⑪⑬	audibly
⒇⑵⑬⑹⑯⑿	audism
⒇⑵⑬②⑯⑵	audited
⒇⑵⑬②⑬⑩	auditing
⒇⑵⑬⑦⑯⑿	audition
⒇⑵⑬②⒌⑹	auditors
⒇⑵⑬②⒌⑬	auditory
⒇⑶⑫⑭⑿②	augment
⒇⑶⑨⒌⑬⑹	auguries
⒇⑶⑯⑥②⑥	augusts
⒉⑬③⑯⑪⑹	auricles
⒉⑬④⒌⑯⑥	auriferous
⒇⑥②⒍⑪⑬	austerely
⑰⑥②⑾⒎⑿	austrian
⒇②⒈③⑬⑹	autarchies
⒇⑤⒌⒂⑹⑵	authorised
⒇⑤⒌⑦⑬①	authorship
⒇②⑬⑹⑯⑫	autism
⒇②⒄⑴⑳⑿	autobahn
⒇②⑯⑫⑮②	automat
⒇②⑯⑫⒁②	automate
⒇②⑰①⑥⑬	autopsy
⑯⑷⒁⑪⑬⑩	availing
⑮⑷⑯②⒈⑹	avatars
⑯⑷⑭⑿⑻⑵	avenged
⑯⑷⑭⑿⑻⒌	avenger
⑮⑷⑯⑿⒏⑹	avenues
⑮⑷⒌⑬⑻⑵	averaged
⑯⑷⒋⑺⑯⑿	aversion
⑯⑷⒋②⑯⑵	averted
⑯⑷⒋②⑬⑩	averting
⒁⑷⑬⒁②⒌	aviator
⑮⑷⑬⑵⑪⑬	avidly
⑯⑷⒆⑵⑯⑵	avoided
⑯⑷⒆⑵⑬⑩	avoiding
⑯⑷⑲⑧⑯⑹	avouches
⑯⑷⑲⑧⑬⑩	avouching
⑯⑷⑲⑯⑪⑹	avowals
⑯⑼⒁②⑯⑵	awaited
⑯⑼⒁②⑬⑩	awaiting
⑯⑼⒁③⑯⑿	awaken
⑯⑼⒁③⑬⑩	awaking
⑯⑼⒉⑵⑯⑵	awarded
⑯⑼⒉⑵⑬⑩	awarding
⑯⑼⒊⑿⑯⑥	awareness
⒇⑥②⑾⒃③	awestruck
⑯⑼⒄③⑯⑿	awoken
⑮③⑥⒎⑫⑹	axioms
⑮③⑥⑯⑪⑹	axles
⑯⑹⒁⑪⒎⑹	azaleas
⑮⑹⑬⑫⑯⑤	azimuth
⑴⑮⑴⑯⑪⑵	babbled
⑴⑮⑴⑪⒌⑹	babblers
⑴⑮⑴⑯⑪⑹	babbles
⑴⑮⑴⑪⑬⑩	babbling
⑴⒁⑴⑯⑪⑹	babels
⑴⑯⑴⒅⑿⑹	baboons
⑴⒁⑴⑬⑬⑩	babying
⑴⒁⑴⑬⑬⑦	babyish
⑴⑮⑧⑯⑪⒌	bachelor
⑴⑯⑥⑬⑪⒂	bacilli
⑴⑮③⒁③⑥	backaches
⑴⑮③⑴⑬②	backbit
⑴⑮③⑴⒂②	backbite
⑴⑮③⑴⒉⑵	backboard
⑴⑮③⑴⒄⑿	backbone
⑴⑮③⑧⑮②	backchat
⑴⑮③⑵⒁②	backdate
⑴⑮③⑵⒉⑹	backdoors
⑴⑮③④⒂⒌	backfire
⑴⑮③⑬⑩⑹	backings
⑴⑮③⑪⑮⑦	backlash
⑴⑮③⑪⑯⑥	backless
⑴⑮③⑪⒂②	backlight
⑴⑮③⑪⑰⑶	backlog
⑴⑮③⑾⒅⑫	backroom
⑴⑮③⑥⒀②	backseat
⑴⑮③⑦⒀⑦	baksheesh
⑴⑮③⑥⒂⑵	backside
⑴⑮③⑥②⒊	backstair
⑴⑮③⑥⒉⑵	backsword
⑴⑮③②⒇③	backtalk
⑴⑮③⒃①⑥	backups
⑴⑮③⑼⒌⑵	backward
⑴⑮③⑼⑰⑦	backwash
⑴⑮③⑨⒈⑵	backyard
⑴⑮③②⒍⒎	bacteria
⑴⑮⑻⒌⑬⑩	badgering
⑴⑮⑵⑿⑯⑥	badness
⑴⑮④⑯⑪⑵	baffled
⑴⑮④⑯⑪⑹	baffles
⑴⑮④⑪⑬⑩	baffling
⑴⑮⑶⑬⑪⑬	baggily
⑴⑮⑿⑨⒄⑹	bagnios
⑴⑮⑶①⒂①	bagpipe
⑴⑯⑽⑳⑥⑯	bahasa
⑴⒈⒁⑿⑬⑹	bahrainis
⑴⒁⑪⑬④⑥	bailiffs
⑴⒁③⒌⑬⑹	bakeries
⑴⒁③⑼⑭⑪	bakewell
⑴⑮⑪⑯⑿⑥	balance
⑴⒇⑪⑵⑪⑬	baldly
⑴⒁⑪④⑯⑪	baleful
⑴⑮⑪⑳⑵⑹	ballades
⑴⑮⑪⑯⑵⑹	ballads
⑴⑮⑪⑯⑥②	ballast
⑴⒇⑪③⑰③	ballcock
⑴⑰⑪⑯③⑥	bollocks
⑴⑯⑪⒅⑿⑵	ballooned
⑴⑯⑪⒅⑿⑹	balloons
⑴⑮⑪⑯②⑥	ballots
⑴⒇⑪①⑭⑿	ballpen
⑴⒇⑪⑾⒅⑫	ballroom
⑴⑮⑪⑬⑽⒅	ballyhoo
⑴⑯⑪⒄⑿⑬	baloney
⑴⒇⑪⑥⑯⑫	balsam
⑴⒇⑪⑥⑯⑹	balsas
⑴⒇⑪②⑬③	baltic
⑴⑮⑫⑴⒅⑹	bamboos
⑴⑯⑿⑳⑿⑯	banana
⑴⑮⑿⑵⑬⑻	bandage
⑴⑮⑿⑵⒄⑹	bandeaux
⑴⑮⑿⑵⑯⑵	banded
⑴⑮⑿⑵⑬⑵	bandied
⑴⑮⑿⑵⑬⒌	bandier
⑴⑮⑿⑵⑬⑹	bandies
⑴⑮⑿⑵⑬⑩	banding
⑴⑮⑿⑵⑬②	bandit
⑴⒁⑿④⑯⑪	baneful
⑴⑮⑩⑶⑯⑪	bangle
⑴⑮⑿⑨⑮⑿	banyan
⑴⑮⑿⑬⑦②	banished
⑴⑮⑿⑻⒄⑹	banjos
⑴⑮⑩③⒌⑹	bankers
⑴⑮⑩③⑬⑩	banking
⑴⑮⑿⑯③⑥	bannocks
⑴⑮⑿⑦⒀⑹	banshees
⑴⑮⑿②⑯⑫	bantam
⑴⑮⑿②⑯⑵	banted
⑴⑮⑿②⒌⑵	bantered
⑴⑮⑿②⒌⑹	banters
⑴⑮⑿②⑬⑩	banting
⑴⑮⑿②⒅⑹	bantus
⑴⒁⒄⑴⑮⑴	baobab
⑴⑮①②⒂⑹	baptise
⑴⒈⑴⒊⒎⑿	barbarian
⑴⒈⑴⒌⒂⑹	barbarize
⑴⒈⑴⒌⑯⑥	barbarous
⑴⒈⑴⑬③⒏	barbecue
⑴⒈⑴⑯⑪⑹	barbels
⑴⒈③⒌⒄⑪	barcarole
⑴⒊⑴⑮③②	barebacked
⑴⒊④⒁⑥②	barefaced
⑴⒈⑶⑬⑿⑵	bargained
⑴⒈⑶⑬⑿⑹	bargains
⑴⒈⑻①⒄⑪	bargepole
⑴⒌⒀⑥②⑯	barista
⑴⒈⑫⒁⑵⑹	barmaids
⑴⒈⑿⑨⒈⑵	barnyard
⑴⒌⒄⑿⒎⑪	baronial
⑴⑮⑾⑯⑿⑹	barons
⑴⑮⑾⑯⑿⑬	barony
