⑯⑴⑮⑿⑵⑯⑿	abandon
⑮⑪③⑯⑪⒂⑿	alkaline
⑯⑪⒀⑻⑯⑿⑥	allegiance
⑯⑪⒀⑷⑬⒁②	alleviate
⑮⑪⑬⑶⒁②⒌	alligator
⑯⑪⑲⑯⑴⑯⑪	allowable
⑯⑪⒅⑺⑯⑿⑹	allusions
⑯⑪⑰⑩⑥⒂⑵	alongside
⑮⑪④⑯⑴⑭②	alphabet
⑮⑪⑥⒁⑦⑯⑿	alsatian
⒇⑪②⒋⑿⑯②	alternate
⒇⑪②⒌⑿⒁②	alternate
⑮⑪②⑬②⒏⑵	altitude
⑯⑫⑮⑪⑶⑯⑫	amalgam
⑮⑫⑯⑧⒌⑬⑦	amateurish
⑮⑫⑴⑬⑦⑯⑿	ambition
⑮⑫⑴⑬⑦⑯⑥	ambitious
⑯⑫⒀⑪⒍⒁②	ameliorate
⑯⑫⑭⑿⑵⑯⑵	amended
⑯⑫⑭⑿⑵⑬⑩	amending
⑯⑫⒀⑿⑬②⑬	amenity
⑮⑫⑿⑯⑥②⑬	amnesty
⑯⑫⑲⑿②⑯⑵	amounted
⑯⑫⑲⑿②⑬⑩	amounting
⑮⑫④⑬⑴⒎⑥	amphibious
⑮⑫①⑪⑬④⒂	amplify
⑮⑿⑯⑪⑰⑶⑹	analogues
⑯⑿⑮⑪⑯⑻⑬	analogy
⑮⑿⑯⑪⒂⑹⑵	analysed
⑮⑿⑯⑪⑬⑥②	analyst
⑮⑿⒌③⑬⑥②	anarchist
⑯⑿⑮⑤⑯⑫⑯	anathema
⑯⑿⑮②⑯⑫⑬	anatomy
⑮⑿⑥⑭⑥②⒌	ancestor
⑮⑿⑥⑬⑪⒌⑬	ancillary
⑮⑿⑵⑾⒆⑵⑹	androids
⑮⑿⑬③⑵⒄②	anecdote
⑯⑿⑭⑫⑯⑿⑬	anemone
⑮⑿⑻⑭⑪⑬③	angelic
⑮⑩⑶⑾⑬⑪⑬	angrily
⑮⑩⑶⑼⑬⑦②	anguished
⑮⑩⑶⑨⑯⑪⒌	angular
⑮⑿⑬⑫⑯⑪⑹	animals
⑯⑿⑲⑿⑥⑯⑹	announces
⑯⑿⑲⑿⑥⑬⑩	announcing
⑮⑿⑨⑱⑯⑪⑬	annually
⑮⑿⑨⑱⑯⑪⑹	annuals
⑯⑿⒏⑬②⑬⑹	annuities
⑯⑿⑰⑫⑯⑪⑬	anomaly
⑮⑿②⑬⑪⒄①	antelope
⑮⑿②⑬⑵⒄②	antidote
⑮⑩⑹⒂⑯②⑬	anxiety
⑭⑿⑬⑴⑰⑵⑬	anybody
⑯①⑰⑪⑯⑻⑬	apology
⑯①⑰⑥⑯⑪⑹	apostles
⑮①⒌⒁②⑯⑥	apparatus
⑯①⑮⑾⑯⑿②	apparent
⑮①⒌⑬⑦⑯⑿	apparition
⑯①⑭⑪⑯⑿②	appellant
⑮①⑯②⒂②⑥	appetites
⑯①⑪⒇⑵⑯⑵	applauded
⑯①⑪⒂⑯⑿⑥	appliance
⑯①⒆⑿②⑯⑵	appointed
⑯①⒆⑿②⒀⑹	appointees
⑯①⒆⑿②⑬⑩	appointing
⑯①⒉⑦⑯⑿⑵	apportioned
⑯①⑾⒁⑹⑯⑪	appraisal
⑯①⑾⒁⑹⑬⑩	appraising
⑯①⑾⒄⑧⑯⑹	approaches
⑯①⑾⒄⑧⑬⑩	approaching
⑯①⑾⒅⑷⑯⑪	approval
⑯①⑾⒅⑷⑬⑩	approving
⒁①⑾⑬③⑰②	apricot
⑮①②⑬②⒏⑵	aptitude
⑯③⑼⑮②⑬③	aquatic
⒈⑴⑬②⑾⒌⑬	arbitrary
⒈⑧⑴⑬⑦⑯①	archbishop
⒈⑧⑵⒀③⑯⑿	archdeacon
⒈③⑬②⑭③②	architect
⒈③⑬⑷⑬⑥②	archivist
⒈⑻⑯⑿②⒂⑿	argentine
⒈⑫⑯⑫⑯⑿②	armament
⒈⑫⑬⑥②⑬⑥	armistice
⑮⑾⑯⑶⑯⑿⑥	arrogance
⑮⑾⑯⑶⑯⑿②	arrogant
⒈⑥⑯⑿⑯⑪⑹	arsenals
⒈②⑬④⑮③②	artefact
⒈⑤⑾⑬②⑬③	arthritic
⒈⑤⑾⒂②⑬⑥	arthritis
⒈②⑬③⑯⑪⑹	articles
⒈②⑬⑹⑮⑿⑹	artisans
⒈②⑬⑥②⑬③	artistic
⒈②⑬⑥②⑾⑬	artistry
⑯⑥⑭⑿⑵⑯⑵	ascended
⑯⑥⑭⑿⑵⑬⑩	ascending
⑯⑥⑭⑿⑦⑯⑿	ascension
⑮⑥⒌②⒁⑿⑵	ascertained
⑯⑥③⑾⒂⑴⑵	ascribed
⒁⑺⑬⑮②⑬③	asiatic
⑮⑥①⑭③②⑥	aspects
⑯⑥①⒂⒌⑬⑩	aspiring
⑯⑥⒁⑪⑯⑿②	assailant
⑯⑥⑮⑥⑬⑿⑹	assassins
⑯⑥⒇⑪②⑯⑵	assaulted
⑯⑥⒇⑪②⑬⑩	assaulting
⑯⑥⑭⑫⑴⑯⑪	assemble
⑯⑥⑭⑫⑴⑪⑬	assembly
⑯⑥⒋⑦⑯⑿⑹	assertions
⑯⑥⑬⑻⑱⑯⑥	assiduous
⑯⑥⑬⑥②⑯⑵	assisted
⑯⑥⑬⑥②⑬⑩	assisting
⑯⑥⒄⑦⑬⒁②	associate
⑯⑥⒄⑦⒎②⑥	associates
⑯⑦⑱⒌⑯⑿⑥	assurance
⑮⑥②⒌⑬⑥③	asterisk
⑮⑥②⒌⒆⑵⑹	asteroids
⑮⑥⑫⑮②⑬③	asthmatic
⑯⑥⒂⑪⑯⑫⑹	asylums
⒁⑤⑬⑬⑹⑯⑫	atheism
⒁⑤⑬⑬⑥②⑥	atheists
⑯⑤⒀⑿⒎⑿⑹	athenians
⑮⑤⑪⑭②⑬③	athletic
⑮②⑫⑯⑥④⒍	atmosphere
⑯②⑾⒄⑦⑯⑥	atrocious
⑯②⑭⑫①②⑥	attempts
⑯②⑭⑿⑵⑯⑵	attended
⑯②⑭⑿⑵⑬⑩	attending
⑯②⑭⑿⑦⑯⑿	attention
⑯②⑭⑿②⑬⑷	attentive
⑯②⑭⑥②⑯⑵	attested
⑮②⑬②⒏⑵⑹	attitudes
⑯②⑾⑮③②⒌	attractor
⑯②⑾⑮③②⑥	attracts
⑮②⑾⑬⑴⒏②	attribute
⑯②⑾⑬⑴⒏②	attribute
⑯②⑾⑬⑦⑯⑿	attrition
⒇③⑦⑯⑿⒍⑹	auctioneers
⒇⑵⑮⑥⑬②⑬	audacity
⒇⑵⒎⑿⑥⑯⑹	audiences
⒇⑵⑬⑦⑯⑿⑹	auditions
⒇⑵⑬②⒉⒎⑫	auditorium
⒇⑥①⑬⑥⑯⑹	auspices
⒇⑥①⑬⑦⑯⑥	auspicious
⑰⑥②⑾⒎⑿⑹	austrians
⒇⑤⑭⑿②⑬③	authentic
⒇⑤⒌⒂⑹⑬⑩	authorising
⒇⑤⑰⑾⑬②⑬	authority
⒇②⑬⑥②⑬③	autistic
⒇②⑯⑶⑾⑮④	autograph
⒇②⑰⑿⑯⑫⑬	autonomy
⒇②⒃⑫⑿⑯⑪	autumnal
⒇⑶⑹⑬⑪⒍⑬	auxiliary
⑮⑷⑯⑪⑳⑿⑧	avalanche
⑮⑷⒌⑬⑻⑯⑹	averages
⑮⑷⒌⑬⑻⑬⑩	averaging
⒁⑷⑬⒁⑦⑯⑿	aviation
⑮⑷⑯③⑳⑵⒄	avocado
⑯⑷⒆⑵⑯⑿⑥	avoidance
⑯⑼⒁③⑯⑿⑵	awakened
⒇③⑼⒌⑵⑪⑬	awkwardly
⑴⑮⑧⑯⑪⒌⑹	bachelors
⑴⑮③⑴⑭⑿⑧	backbench
⑴⑮③③⑪⑰⑤	backcloth
⑴⑮③⑵⑾⑰①	backdrop
⑴⑮③⑥②⒁⑻	backstage
⑴⑮③⑼⒌⑵⑹	backwards
⑴⑮③⑼⒇②⒌	backwater
⑴⑮③②⒍⒎⑪	bacterial
⑴⑮③②⒍⒎⑫	bacterium
⑴⑮⑶①⒂①⑥	bagpipes
⑴⑮⑪⑯⑿⑥②	balanced
⑴⑮⑪③⑯⑿⑬	balcony
⑴⑮⑪⒌⒀⑿⑯	ballerina
⑴⑯⑿⑳⑿⑯⑹	bananas
⑴⑮⑿⑵⑬②⑥	bandits
⑴⑮⑿⑬⑥②⒌	banister
⑴⑮⑩③⑼⑯②	banquet
⑴⑮①②⒂⑹⑵	baptized
⑴⑮①②⑬⑥②	baptist
⑴⒈⑴⒊⒎⑿⑹	barbarians
⑴⒈⑴⑮⑾⑬③	barbaric
⑴⒈⑶⑬⑿⑬⑩	bargaining
⑴⑮⑾⑬②⒄⑿	baritone
⑴⒌⑰⑫⑬②⒌	barometer
⑴⑮⑾⑯⑿⑭②	baronet
⑴⑮⑾⑬③⒁⑵	barricade
⑴⑮⑾⑬⑥②⒌	barrister
⑴⒁⑥⑫⑯⑿②	basement
⑴⒁⑥⑬③⑪⑬	basically
⑴⑳⑥③⑯②⑥	baskets
⑴⑳⑥②⒌⑵⑹	bastards
⑴⑮⑥②⒎⑿⑹	bastions
⑴⑳⑤⑾⒅⑫⑹	bathrooms
⑴⑮②⑥⑫⑯⑿	batsman
⑴⑮②⑥⑫⑭⑿	batsmen
⑴⑯②⑮⑪⒎⑿	battalion
⑴⒁⑯⑿⑭②⑥	bayonets
⑴⒏②⑬④⑯⑪	beautiful
⑴⑭③⑯⑿⑬⑩	beckoning
⑴⑬③⒃⑫⑬⑩	becoming
⑴⑭⑵⑾⒅⑫⑵	bedroomed
⑴⑭⑵⑾⒅⑫⑹	bedrooms
⑴⒀⑹⑼⑮③⑥	beeswax
⑴⑬④⒇⑪⑯⑿	befallen
⑴⑬⑶⑬⑿⒌⑹	beginners
⑴⑬⑶⑬⑿⑬⑩	beginning
⑴⑬⑽⒁⑷⑬⑩	behaving
⑴⑬⑽⒁⑷⑨⒌	behaviour
⑴⑬⑪⒁②⑯⑵	belated
⑴⑬⑪⒀⑶⒌⑵	beleaguered
⑴⑭⑪⑻⑯⑿⑹	belgians
⑴⑬⑪⒀⑷⒌⑹	believers
⑴⑬⑪⒀⑷⑬⑩	believing
⑴⑬⑪⑰⑩⑬⑩	belonging
⑴⑬⑪⒃⑷⑯⑵	beloved
⑴⑭⑿⑧⑫⒈③	benchmark
⑴⑭⑿⑬④⑬②	benefit
⑴⑬⑿⒂⑿⑪⑬	benignly
⑴⑬③⑼⒀⑸⑵	bequeathed
⑴⑬③⑼⑭⑥②	bequest
⑴⑬②⑾⒁⑯⑪	betrayal
⑴⑬②⑾⒁⑬⑩	betraying
⑴⒂⑥⑬③⑯⑪	bicycle
⑴⑬⑶⑯②⑯⑵	bigoted
⑴⑬⑶⑯②⑾⑬	bigotry
⑴⑬⑪⑨⒌⑵⑹	billiards
⑴⑬⑪⑨⑯⑿⒊	billionaire
⑴⒂⑿⑵⑬⑩⑹	bindings
⑴⒂⑰⑪⑯⑻⑬	biology
⑴⒋⑤①⑪⒁⑥	birthplace
⑴⑬⑥③⑬②⑥	biscuits
⑴⑬②⒌⑿⑯⑥	bitterness
⑴⑬⑧⑯⑫⑯⑿	bitumen
⑴⑪⑮③⑴⒋⑵	blackbird
⑴⑪⑮③⑴⒉⑵	blackboard
⑴⑪⑮③⑯⑿⑵	blackened
⑴⑪⑮③⑯⑥②	blackest
⑴⑪⑮③⑫⒁⑪	blackmail
⑴⑪⑮③⑿⑯⑥	blackness
⑴⑪⒁⑫⑪⑯⑥	blameless
⑴⑪⑮⑿⑵⑪⑬	blandly
⑴⑪⑮⑩③⑯②	blanket
⑴⑪⑮⑩③⑪⑬	blankly
⑴⑪⑳⑥②⑯⑵	blasted
⑴⑪⑳⑥②⑬⑩	blasting
⑴⑪⒁②⑯⑿②	blatant
⑴⑪⑭⑿⑵⑯⑵	blended
⑴⑪⑭⑿⑵⑬⑩	blending
⑴⑪⑭⑥⑬⑩⑹	blessings
⑴⑪⒂⑿⑵⑯⑵	blinded
⑴⑪⒂⑿⑵⑬⑩	blinding
⑴⑪⒂⑿⑵⑪⑬	blindly
⑴⑪⑬⑩③⑬⑩	blinking
⑴⑪⑬⑥④⑯⑪	blissful
⑴⑪⑬⑥②⒌⑹	blisters
⑴⑪⒃⑵⑪⑯⑥	bloodless
⑴⑪⒃⑵⑦⑭⑵	bloodshed
⑴⑪⒃⑵⑦⑰②	bloodshot
⑴⑪⑰⑥⑯⑫⑵	blossomed
⑴⑪⑰⑥⑯⑫⑹	blossoms
⑴⑪⒅⑴⑭⑪⑹	bluebells
⑴⑪⒃⑿⑵⒌⑵	blundered
⑴⑪⒃⑿⑵⒌⑹	blunders
⑴⑪⒃⑿②⑪⑬	bluntly
⑴⑪⒃⑥②⒌⑬	blustery
⑴⑰⑵⑬⑶⒈⑵	bodyguard
⑴⑰⑵⑬⑼⒋③	bodywork
⑴⒄⑽⒀⑫⒎⑿	bohemian
⑴⒆⑥②⒌⑯⑥	boisterous
⑴⒄⑪⑵⑿⑯⑥	boldness
⑴⑯⑪⑬⑷⒎⑿	bolivian
⑴⒄⑪⑥②⒌⑵	bolstered
⑴⑯⑿⑮⑿⑹⑯	bonanza
⑴⑰⑿④⒂⒌⑹	bonfires
⑴⒄⑿⑯⑥⑯⑹	bonuses
⑴⑱③⑪⑯②⑥	booklets
⑴⑱③⑫⒁③⒌	bookmaker
⑴⑱③⑥⑭⑪⒌	bookseller
⑴⑱③⑦⑭⑪④	bookshelf
⑴⑱③⑦⑰①⑥	bookshops
⑴⒉⑵⒌⑪⒂⑿	borderline
⑴⑰⑾⒄⑬⑩⑹	borrowings
⑴⒅⑪⑯⑷⒈⑵	boulevard
⑴⑲⑿⑵⑾⑬⑹	boundaries
⑴⑲⑿⑵⑪⑯⑥	boundless
⑴⒆③⑰②⑯⑵	boycotted
⑴⒆④⑾⑭⑿⑵	boyfriend
⑴⑾⒁⑥⑪⑯②	bracelet
⑴⑾⑮③⑯②⑥	brackets
⑴⑾⑮⑫⑴⑯⑪	bramble
⑴⑾⑳⑿⑧⑯⑹	branches
⑴⑾⑳⑿⑧⑬⑩	branching
⑴⑾⑮⑿⑵⑯⑵	branded
⑴⑾⑯⑷⑳⑵⒄	bravado
⑴⑾⒁⑷⑯⑥②	bravest
⑴⑾⒁③⑯⑼⒁	breakaway
⑴⑾⒁③⑵⑲⑿	breakdown
⑴⑾⒁③⑤⑾⒅	breakthrough
⑴⑾⑭⑤⑪⑯⑥	breathless
⑴⑾⑭⑸⑾⑯⑿	brethren
⑴⑾⑭⑷⑬②⑬	brevity
⑴⑾⑬③⑪⒁⒌	bricklayer
⑴⑾⑬③⑼⒋③	brickwork
⑴⑾⒀④③⒁⑥	briefcase
⑴⑾⒀④⑯⑥②	briefest
⑴⑾⒀④⑬⑩⑹	briefings
⑴⑾⑬⑶⒁⑵⑹	brigades
⑴⑾⑬⑶⑯⑵⒍	brigadier
⑴⑾⒂②⑯⑿⑵	brightened
⑴⑾⒂②⑯⑥②	brightest
⑴⑾⒂②⑿⑯⑥	brightness
⑴⑾⑬⑪⒎⑿⑥	brilliance
⑴⑾⑬⑪⒎⑿②	brilliant
⑴⑾⑬⑥③⑪⑬	briskly
⑴⑾⑬⑥⑯⑪⑵	bristled
⑴⑾⑬⑥⑯⑪⑹	bristles
⑴⑾⑬⑥⑪⑬⑩	bristling
⑴⑾⑬②⑯⑿⑹	britons
⑴⑾⒇⑵⑯⑿⑵	broadened
⑴⑾⒇⑵⑿⑬⑩	broadening
⑴⑾⒇⑵⑯⑥②	broadest
⑴⑾⒇⑵⑦⒀②	broadsheet
⑴⑾⒇⑵⑥⒂⑵	broadside
⑴⑾⑰③⑯⑪⑬	broccoli
⑴⑾⒄③⒌⑬⑻	brokerage
⑴⑾⑰⑩③⒎⑪	bronchial
⑴⑾⑰⑿⑹⑯⑹	bronzes
⑴⑾⑰⑤⑯⑪⑹	brothels
⑴⑾⒃⑸⒌⑪⑬	brotherly
⑴⑾⒅⑥③⑪⑬	brusquely
⑴⑾⒅②⑯⑪⑬	brutally
⑴⑱⑵⑬⑹⑯⑫	buddhism
⑴⑱⑵⑬⑥②⑥	buddhists
⑴⒃⑻⑯②⒌⑬	budgetary
⑴⒃⑻⑯②⑯⑵	budgeted
⑴⒃⑻⑯②⑬⑩	budgeting
⑴⑬⑪⑵⑬⑩⑹	buildings
⑴⒃⑪⑶⒊⒎⑿	bulgarian
⑴⒃⑪③⑽⑭⑵	bulkhead
⑴⑱⑪⑵⒄⑹⒌	bulldozer
⑴⑱⑪⑯②⑬⑿	bulletin
⑴⒃⑿⑵⑯⑪⑵	bundled
⑴⒃⑿⑵⑯⑪⑹	bundles
⑴⒃⑩⑶⑯⑪⒄	bungalow
⑴⒋⑻⑯⑿⑬⑩	burgeoning
⑴⒋⑶⑪⒌⑬⑹	burglaries
⑴⑬⑹⑬⑯⑥②	busiest
⑴⒃②⒌④⑪⒂	butterfly
⑴⒂①⑳⑥⑬⑩	bypassing
③⑮⑴⑬⑻⑯⑹	cabbages
③⑮⑴⑬⑿⑯②	cabinet
③⑮④⑯②⒍⒎	cafeteria
③⑮⑪⑬⑿⑵⒌	calendar
③⑮⑫③⒉⑵⒌	camcorder
③⑮⑫⑯⑫⒂⑪	camomile
③⑮⑫①⒁⑿⑵	campaigned
③⑮⑫①⒁⑿⒌	campaigner
③⑮⑫①⒁⑿⑹	campaigns
③⑮⑫①⑥⒂②	campsite
③⑯⑿⒁⑵⒎⑿	canadian
③⑮⑿⑥⑯⑪⑵	cancelled
③⑮⑿⑥⑯⑪⑹	cancels
③⑮⑿⑥⒌⑯⑥	cancerous
③⑮⑿⑵⑯⑪⑹	candles
③⑮⑿⑬⑥②⒌	canister
③⑮⑿⑯⑴⑬⑥	cannabis
③⑮⑿⑬⑴⑯⑪	cannibal
③⑮⑿⑨⑯⑿⑹	canons
③⑮⑿⑯①⑬⑹	canopies
③⑮⑿②⒀⑿⑹	canteens
③⑮⑿②⑰⑿⑹	cantons
③⑮⑿⑷⑯⑥②	canvassed
③⒁①⑯⑴⑯⑪	capable
③⑯①⒁⑦⑯⑥	capacious
③⑯①⑬⑪⒌⑬	capillary
③⑮①⑬②⑯⑪	capital
③⑮①⑥⒏⑪⑹	capsules
③⑮①②⑬⑿⑵	captained
③⑮①②⑬⑿⑹	captains
③⑮①⑦⑯⑿⑹	captions
③⑮①②⑬⑷⑹	captives
③⑮①⑧⒌⑬⑩	capturing
③⑮⑾⑯⑫⑯⑪	caramel
③⑮⑾⑯①⒁⑥	carapace
③⑮⑾⑯⑷⑮⑿	caravan
③⒈⑴⑯⑿⒁②	carbonate
③⒈⑴⒌⑭②⒌	carburettor
③⒈③⑯⑥⑯⑹	carcasses
③⒈⑵⑬⑶⑯⑿	cardigan
③⒈⑵⑬⑿⑯⑪	cardinal
③⒊⑪⑯⑥⑪⑬	carelessly
③⑮⑾⑬⑴⒎⑿	caribbean
③⒈⑿⒁⑦⑯⑿	carnation
③⒈⑿⑬⑷⑯⑪	carnival
③⒈⑿⑬⑷⒉⑹	carnivores
③⒈①⑯⑿②⒌	carpenter
③⒈①⑯②⑯⑵	carpeted
③⑮⑾⑬⑻⑯⑹	carriages
③⑮⑾⑬⑻⑼⒁	carriageway
③⒈②⑯⑪⑬⑻	cartilage
③⒁⑥⑫⑯⑿②	casement
③⑯⑥⒀⑿⒄⑹	casinos
③⑮⑥⒌⒄⑪⑹	casseroles
③⑳⑥②⑬⑩⑹	castings
③⑮⑺⑱⑯⑪⑬	casually
③⑮⑺⑱⑯⑪⑹	casuals
③⑮②⑯⑪⑮⑿	catalan
③⑮②⑯⑪⑰⑶	catalogue
③⑮②⒌⑮③②	cataract
③⑮⑧⑫⑯⑿②	catchment
③⑮②⑯⑶⒌⑬	category
③⑮⑤⑯⑪⑬③	catholic
③⒇③⒁⑺⑯⑿	caucasian
③⒇⑪⑵⑾⑯⑿	cauldron
③⒇⑹⒁⑦⑯⑿	causation
③⒇⑹⑯②⑬⑷	causative
③⒇⑦⑯⑿⑾⑬	cautionary
③⒇⑦⑯⑥⑪⑬	cautiously
③⑮⑷⑯⑪⑾⑬	cavalry
③⑮⑷⑬⑮②⑥	caveats
③⑮⑷⒌⑿⑯⑥	cavernous
③⑮⑷⑬②⑬⑹	cavities
⑥⑭⑪⑯⑴⑯②	celibate
⑥⑭⑪⑯④⒁⑿	cellophane
⑥⑭⑪⑨⑯⑪⒌	cellular
⑥⑬⑫⑭⑿②⑥	cements
⑥⑭⑫⑯②⒌⑬	cemetery
⑥⑭⑿⑥⒉⒎⑥	censorious
⑥⑭⑿②⑾⑯⑪	central
⑥⑭⑿②⒌⑬⑩	centring
⑥⑭⑿⑧⒌⑬⑹	centuries
⑥⒌⑮⑫⑬③⑥	ceramics
⑥⒋②⑯⑿⑪⑬	certainly
⑥⒋②⑯⑿②⑬	certainty
⑥⒋②⑬④⒂⑵	certified
⑥⒋⑷⑬③⑯⑪	cervical
⑥⑭⑥⒁⑦⑯⑿	cessation
⑧⒊①⒋⑥⑯⑿	chairperson
⑧⑮⑪⑯⑿⑻⑵	challenged
⑧⑮⑪⑯⑿⑻⒌	challenger
③⑯⑫⒀⑪⒎⑿	chameleon
⑧⑮⑫①⒎⑿⑵	championed
⑧⑮⑫①⒎⑿⑹	champions
⑧⑳⑿⑥⑯⑪⒌	chancellor
⑦⑮⑿⑵⑯⑪⒍	chandelier
⑧⒁⑿⑻⒄⑷⒌	changeover
⑧⑮①⑪⑬⑿⑹	chaplains
③⑮⑾⑯③②⒌	character
⑧⒈⑻⑯⑴⑯⑪	chargeable
⑧⑮⑾⑬②⑬⑹	charities
⑧⒈⑫⑬⑩⑪⑬	charmingly
⑧⑮⑥②⑬②⑬	chastity
⑧⑭③⑪⑬⑥②	checklist
⑧⑭③①⒆⑿②	checkpoint
⑧⒀③⑴⒄⑿⑹	cheekbones
③⑭⑫⑬③⑯⑪	chemical
