⑯⑴⑮⑿⑵⑯⑿	abandon
⑯①⑭⑿⑵⑯⑵	appended
⑯①⑭⑿⑵⑬⑩	appending
⑮①⒌②⒁⑿⑵	appertained
⑮①⒌②⒁⑿⑹	appertains
⑮①⑯②⒂②⑥	appetites
⑮①⑯②⒂⑹⒌	appetizer
⑯①⑪⒇⑵⑯⑵	applauded
⑯①⑪⒇⑵⑬⑩	applauding
⑮①⑯⑪⑻⑮③	applejack
⑯①⑪⒂⑯⑿⑥	appliance
⑮①⑪⒀③⒁⑵	appliqueed
⑮①⑪⒀③⒁⑹	appliques
⑯①⒆⑿②⑯⑵	appointed
⑯①⒆⑿②⒀⑹	appointees
⑯①⒆⑿②⑬⑩	appointing
⑯①⒉⑦⑯⑿⑵	apportioned
⑯①⒉⑦⑯⑿⑹	apportions
⑯①⑾⒁⑹⑯⑪	appraisal
⑯①⑾⒁⑹⑯⑹	appraises
⑯①⑾⒁⑹⑬⑩	appraising
⑯①⑾⒂⑹⑯⑹	apprises
⑯①⑾⒂⑹⑬⑩	apprising
⑯①⑾⒄⑧⑯⑹	approaches
⑯①⑾⒄⑧⑬⑩	approaching
⑯①⑾⒅⑷⑯⑪	approval
⑯①⑾⒅⑷⑬⑩	approving
⒁①⑾⑬③⑰②	apricot
⑮①②⑬②⒏⑵	aptitude
⑮③⑼⑯⑪⒃⑩	aqualung
⑮③⑼⑯⑿⒇②	aquanaut
⑯③⑼⒊⒎⑫⑹	aquariums
⑯③⑼⑮②⑬③	aquatic
⑮③⑼⑯⑷⑬②	aquavit
⑮③⑼⑬⑪⒂⑿	aquiline
⑮⑾⑯⑴⑭⑥③	arabesque
⑮⑾⑯⑴⑬⑥②	arabist
⒌⑮③⑿⑬⑵⑹	arachnids
⒈⑴⑬②⑾⒌⑬	arbitrary
⒈⑴⑬②⑾⒁②	arbitrate
⒈③⒁⑵⒎⑿⑹	arcadians
⒈③⒁⑬⑹⑯⑫	archaism
⒈③⒁⑿⑻⑯⑪	archangel
⒈⑧⑴⑬⑦⑯①	archbishop
⒈⑧⑵⒀③⑯⑿	archdeacon
⒈⑧⑵⒃⑧⑯⑥	archduchess
⒈③⑬②⒂①⑥	archetypes
⒈③⑬②⑭③②	architect
⒈③⑬⑷⑬⑥②	archivist
⒈⑵⑯⑿②⑪⑬	ardently
⒈⑻⑱⑯⑥⑪⑬	arduously
⒈⑻⑯⑿②⒂⑿	argentine
⒈⑶⑯⑿⒇②⑥	argonauts
⒈⑫⑯⑵⑬⑪⒄	armadillo
⒈⑫⑯⑫⑯⑿②	armament
⒈⑫⑴⑮⑿⑵⑹	armbands
⒈⑫⑬⑥②⑬⑥	armistice
⑮⑾⑯⑼⑰⑿⑯	arowana
⒈①⑭⑻⑬⒄⑹	arpeggios
⒈③⑼⑬⑴⑯⑥	arquebus
⒌⒁⑿⑫⑯⑿②	arraignment
⑮⑾⑯⑶⑯⑿⑥	arrogance
⑮⑾⑯⑶⑯⑿②	arrogant
⑮⑾⑯⑶⒁②⑥	arrogates
⑮⑾⒄⑽⑭⑵⑹	arrowheads
⒈⑥⑯⑿⑯⑪⑹	arsenals
⒈②⑬④⑮③②	artefact
⒈⑤⑾⑬②⑬③	arthritic
⒈⑤⑾⒂②⑬⑥	arthritis
⒈②⑬⑧⒄③⑥	artichokes
⒈②⑬③⑯⑪⑵	articled
⒈②⑬③⑯⑪⑹	articles
⒈②⑬③⑪⑬⑩	articling
⒈②⑬④⑬⑥⒌	artificer
⒈②⑬⑹⑮⑿⑹	artisans
⒈②⑬⑥②⑬③	artistic
⒈②⑬⑥②⑾⑬	artistry
⒈②⑪⑯⑥⑪⑬	artlessly
⑯⑥⑭⑿⑵⑯⑵	ascended
⑯⑥⑭⑿⑵⒌⑹	ascenders
⑯⑥⑭⑿⑵⑬⑩	ascending
⑯⑥⑭⑿⑦⑯⑿	ascension
⑮⑥⒌②⒁⑿⑵	ascertained
⑮⑥⒌②⒁⑿⑹	ascertains
⑯⑥⑭②⑬③⑥	ascetics
⑯⑥③⒉⑴⑬③	ascorbic
⑯⑥③⑾⒂⑴⑵	ascribed
⑯⑥③⑾⒂⑴⑹	ascribes
⒁⑥⑭①⑥⑬⑥	asepsis
⒁⑥⑭①②⑬③	aseptic
⒁⑺⑬⑮②⑬③	asiatic
⑮⑥①⑭③②⑥	aspects
⑯⑥①⒋⑥⑯⑹	asperses
⑯⑥①⒋⑥⑬⑩	aspersing
⑯⑥①⒋⑦⑯⑿	aspersion
⑮⑥④⒇⑪②⑥	asphalts
⑮⑥④⑯⑵⑭⑪	asphodel
⑯⑥④⑬③⑥⒎	asphyxia
⑮⑥①⑬⑾⑯②	aspirate
⑮⑥①⑬⑾⒁②	aspirate
⑯⑥①⒂⒌⑬⑩	aspiring
⑮⑥①⒌⑬⑿⑹	aspirins
⑯⑥⒁⑪⑯⑿②	assailant
⑯⑥⑮⑥⑬⑿⑹	assassins
⑯⑥⒇⑪②⑯⑵	assaulted
⑯⑥⒇⑪②⑬⑩	assaulting
⑯⑥⑭⑫⑴⑯⑪	assemble
⑯⑥⑭⑫⑴⑪⑬	assembly
⑯⑥⑭⑿②⑯⑵	assented
⑯⑥⑭⑿②⑬⑩	assenting
⑯⑥⒋⑦⑯⑿⑹	assertions
⑯⑥⑭⑷⒌⒁②	asseverate
⑯⑥⑬⑻⑱⑯⑥	assiduous
⑯⑥⑬⑥②⑯⑵	assisted
⑯⑥⑬⑥②⑬⑩	assisting
⑯⑥⒄⑦⑬⒁②	associate
⑯⑥⒄⑦⒎②⑥	associates
⑮⑥⑯⑿⑯⑿⑥	assonance
⑯⑥⑼⒁⑻⑯⑹	assuages
⑯⑥⑼⒁⑻⑬⑩	assuaging
⑯⑦⑱⒌⑯⑿⑥	assurance
⑮⑥②⒌⑬⑥③	asterisk
⑮⑥②⒌⒆⑵⑹	asteroids
⑮⑥⑫⑮②⑬③	asthmatic
⑯⑥②⑰⑿⑬⑦	astonish
⑯⑥②⑲⑿⑵⑹	astounds
⑯⑥②⒏②⑪⑬	astutely
⑯⑥⒂⑪⑯⑫⑹	asylums
⑮⑥⑬⑫②⒄②	asymptote
⑮②⑯⑴⑾⒀⑿	atabrine
⑮②⑭⑪⑬⒁⑹	ateliers
⒁⑤⑬⑬⑹⑯⑫	atheism
⒁⑤⑬⑬⑥②⑥	atheists
⑮⑤⑯⑪⑬⑩⑹	athelings
⑯⑤⒀⑿⒎⑿⑹	athenians
⑮⑤⑪⑭②⑬③	athletic
⑮②⑪⑯⑥⑯⑹	atlases
⑮②⑫⑯⑥④⒍	atmosphere
⑮②⑯⑫⒂⑹⑵	atomised
⑮②⑯⑫⒂⑹⒌	atomiser
⑯②⑾⒄⑦⑯⑥	atrocious
⑮②⑾⑯④⑬⑵	atrophied
⑮②⑾⑯④⑬⑹	atrophies
⑯②⒁⑿⑵⒌⑹	attainders
⑯②⑭⑫①②⑥	attempts
⑯②⑭⑿⑵⑯⑵	attended
⑯②⑭⑿⑵⑬⑩	attending
⑯②⑭⑿⑦⑯⑿	attention
⑯②⑭⑿②⑬⑷	attentive
⑯②⑭⑥②⑯⑵	attested
⑯②⑭⑥②⑬⑩	attesting
⑮②⑬②⒏⑵⑹	attitudes
⑯②⑾⑮③②⒌	attractor
⑯②⑾⑮③②⑥	attracts
⑮②⑾⑬⑴⒏②	attribute
⑯②⑾⑬⑴⒏②	attribute
⑯②⑾⑬⑦⑯⑿	attrition
⒄⑴⒌⑺⒀⑿⑹	aubergines
⒇⑴⑾⒀⑦⑯⑹	aubrietias
⒇③⑦⑯⑿⒍⑹	auctioneers
⒇③⑦⑯⑿⑬⑩	auctioning
⒇⑵⑮⑥⑬②⑬	audacity
⒇⑵⒎⑿⑥⑯⑹	audiences
⒇⑵⑬⑦⑯⑿⑵	auditioned
⒇⑵⑬⑦⑯⑿⑹	auditions
⒇⑵⑬②⒉⒎⑫	auditorium
⒇⑶⑫⑭⑿②⑥	augments
⒇⑶⒃⑥②⑯⑿	augustan
⒉⑬③⑨⑯⑪⒌	auricular
⒇⑥①⑬⑥⑯⑹	auspices
⒇⑥①⑬⑦⑯⑥	auspicious
⑰⑥②⑾⒎⑿⑹	austrians
⒇⑤⑭⑿②⑬③	authentic
⒇⑤⒌⑭⑥⑯⑹	authoresses
⒇⑤⒌⒂⑹⑯⑹	authorises
⒇⑤⒌⒂⑹⑬⑩	authorising
⒇⑤⑰⑾⑬②⑬	authority
⒇②⑬⑥②⑬③	autistic
⒇②⒄⑴⑳⑿⑹	autobahns
⒇②⑯③⑾⑮②	autocrat
⒇②⒄⑻⒂⒌⒄	autogiro
⒇②⑯⑶⑾⑮④	autograph
⒇②⒄⑻⒂⑾⒄	autogyro
⒇②⑰⑫⑯②⑯	automata
⒇②⑯⑫⒁②⑥	automates
⒇②⑯⑫⑮②⑥	automats
⒇②⑰⑿⑯⑫⑬	autonomy
⒇②⑰①⑥⑬⑹	autopsies
⒇②⒃⑫⑿⑯⑪	autumnal
⒇⑶⑹⑬⑪⒍⑬	auxiliary
⑮⑷⑯⑪⑳⑿⑧	avalanche
⑮⑷⒌⑬⑦⑯⑥	avaricious
⑯⑷⑭⑿⑻⒌⑹	avengers
⑯⑷⑭⑿⑻⑯⑹	avenges
⑯⑷⑭⑿⑻⑬⑩	avenging
⑮⑷⒌⑬⑻⑯⑹	averages
⑮⑷⒌⑬⑻⑬⑩	averaging
⑯⑷⒋⑺⑯⑿⑹	aversions
⒁⑷⑬⒁⑦⑯⑿	aviation
⒁⑷⑬⒁②⒌⑹	aviators
⑯⑷⑬⑵⑬②⑬	avidity
⑮⑷⑯③⑳⑵⒄	avocado
⑯⑷⒆⑵⑯⑿⑥	avoidance
⑯⑷⑲⑯⑵⑪⑬	avowedly
⑯⑼⒁③⑯⑿⑵	awakened
⑯⑼⒁③⑯⑿⑹	awakens
⒇③⑼⒌⑵⑪⑬	awkwardly
⑮⑹⑬⑫⑯⑤⑥	azimuths
⑴⒁⑴⑬⑽⑱⑵	babyhood
⑴⒁⑴⑬⑥⑮②	babysat
⑴⒁⑴⑬⑥⑬②	babysit
⑴⑮③⑯⑿⑮⑪	bacchanal
⑴⑮⑧⑯⑪⒌⑹	bachelors
⑴⑯⑥⑬⑪⑯⑥	bacillus
⑴⑮③⑴⑮⑿⑵	backband
⑴⑮③⑴⑭⑿⑧	backbench
⑴⑮③⑴⒂②⒌	backbiter
⑴⑮③⑴⒂②⑥	backbites
⑴⑮③⑴⒉⑵⑹	backboards
⑴⑮③⑴⒄⑿⑹	backbones
⑴⑮③③⑪⑰⑤	backcloth
⑴⑮③⑵⒁②⑥	backdates
⑴⑮③⑵⑾⑰①	backdrop
⑴⑮③④⒂⒌⑵	backfired
⑴⑮③④⒂⒌⑹	backfires
⑴⑮③⑽⑮⑿⑵	backhand
⑴⑮③⑪⑰⑶⑹	backlogs
⑴⑮③⑫⒄⑥②	backmost
⑴⑮③⑾⒅⑫⑹	backrooms
⑴⑮③⑥⒀②⑥	backseats
⑴⑮③⑥⒂⑵⑹	backsides
⑴⑮③⑥⑪⑬⑵	backslid
⑴⑮③⑥⑪⒂⑵	backslide
⑴⑮③⑥①⒁⑥	backspace
⑴⑮③⑥①⑮②	backspat
⑴⑮③⑥②⒁⑻	backstage
⑴⑮③⑥②⒊⑹	backstairs
⑴⑮③⑥②⒁⑹	backstays
